follow,続く、従う
plain,明白な、簡素な、平野
vivid,鮮やかな
thrilled,〈人が〉とてもうれしい
inner,内側の
fond,Ａが好きだ
precisely,正確に、まさに、ちょうど
meanwhile,その間に
altogether,完全に
lately,最近
barely,かろうじて
scarcely,ほとんど～ない
accordingly,それ相応に
deliberately,わざと
beneath,～の下で
lonely,孤独だ
precious,貴重な
minor,小さい
isolated,孤立している
generous,気前のよい
tropical,熱帯
reluctant,したがらない
vague,漠然とした
principal,主要な
numerous,たくさんの
rural,田舎の
temporary,一時的な
artificial,人工
visible,目に見える
raw,生の
remote,へんぴな
urgent,緊急の
silly,ばかな
striking,いちじるしい
adequate,十分な
extraordinary,並はずれた
odd,おかしな
abstract,抽象的な
mutual,相互の
excessive,過度の
ashamed,恥ずかしい
tremendous,とてつもない
inevitable,避けられない
pure,純
stable,安定した
indifferent,無関心だ
aggressive,攻撃的な
ultimate,究極の
shy,内気な
solar,太陽
profound,深い
subtle,微妙な
conservative,保守
brave,勇敢な
intense,強烈な
fantastic,すばらしい
acid,酸性
cruel,残酷な
rational,理性的な
initial,最初の
rigid,厳格な
linguistic,言語
crucial,重大な
verbal,言葉による
optimistic,楽観的な
flexible,柔軟な
grateful,感謝している
lively,生き生きとした
overwhelming,圧倒的な
abundant,豊富な
selfish,利己的な
ugly,みにくい
racial,順守の
prominent,有名な
controversial,物議を呼ぶ
federal,連邦
ridiculous,ばかげた
imaginary,架空の
harsh,厳しい
random,無作為な
adolescent,思春期の
up-to-date,最新の
liberal,自由主義の
prior,前の
moderate,適度な
fluent,流ちょうな
elaborate,手の込んだ
incredible,信じられない
radical,根本的な
manual,手を使う
deaf,耳が聞こえない
medieval,中世の
ecological,生態
mobile,流動的な
ignorant,知らない
immune,免疫
definitely,絶対
virtually,ほとんど
approximately,およそ
instantly,即
literally,文字通り
seemingly,一見
regardless,に関係なく
thoroughly,徹底的に
afterwards,その後
submit,Ａに服従する、〈家・書類など〉を提出する
tempt,～を誘惑する、～する気にさせる
resign,（～を）辞職する
conform,〈規則・慣習などに〉従う
confine,～を限定する、閉じ込める
assemble,～を組み立てる
dedicate,ＡをＢにささげる
advocate,〈主義など〉を主張する
thrive,繁栄する
provoke,〈人の反応など〉を引き起こす
dictate,～を命じる、要求する、決定する
exploit,〈資源など〉を利用する、開発する
surrender,降伏する
reproduce,〈音・場面など〉を再生する、複製する、繁殖する、〈子〉を繁殖させる
transfer,～を移す、転職する
swell,ふくらむ
shed,〈葉など〉を落とす
wind,曲がる
cite,～を引き合いに出す
digest,～を消化する
skip,～をとばす、抜かす
bind,～を縛る、束縛する
dissolve,（～を）溶解する、（～を）解散する
implement,～を実行する
steer,〈船、車など〉を操縦する
congratulate,〈人〉を祝福する
designate,～を指定する
violate,〈法律・約束など〉を破る、～に違反する
presume,～推定する、思う
recruit,〈新人など〉を入れる
coincide,同時に起きる、重なる
enforce,〈法律など〉を施行する
displace,〈人〉を故郷から追い出す、～にとって代わる
shrink,縮む、～を縮ませる、（量などが）減る
betray,～を裏切る、〈秘密など〉をもらす
comprise,～から構成される、～を構成する、〈割合〉を占める
indulge,Ａ（快楽など）にふける
penetrate,（～に）入り込む
devastate,～を壊滅させる
plunge,ＡがＢに突っ込む、ＡをＢに突っ込む
thrust,～を強く押す
contradict,～と矛盾する
prescribe,〈薬〉を処方する
oppress,～をしいたげる
cherish,〈思い出・希望など〉を胸に抱く
illuminate,～を照らす、〈事実など〉を解明する
trigger,～のきっかけになる
commute,通勤[通学]する
induce,～を誘う
utilize,～を利用する
snap,ポキンと折れる、～をポキンと折る
donate,～を提供する
hatch,〈卵・ヒナ〉をかえす、かえる
enclose,～を囲む
prevail,普及している、広まる
sigh,ため息をつく
leak,漏れる、～を漏らす
compel,〈人〉に強制する
crush,～を押しつぶす
comprehend,～を理解する
negotiate,交渉する
persist,持続する、残る
multiply,～を増やす、増える、Ａ（数）にＢ（数）を掛ける
conceive,（～を）想像する、考える
compensate,埋め合わせる
suspend,～を中止する、～をつるす
stir,〈感情など〉をかきたてる
soak,～を浸す、びしょぬれにする、Ａを吸収する
refine,～を洗練する、磨きをかける
arouse,〈感情〉を刺激する、かきたてる
precede,～に先行する
render,ＡをＢにする、変える
mount,～をすえつける、〈馬・自転車など〉に乗る
retreat,退く
startle,～を驚かせる
dare,Ｖする勇気がある
anticipate,を予想する
crawl,はって進む
pray,祈る
dispose,処理する
refrain,控える
accumulate,を蓄積する
mend,を修理する
revise,を修正する
scratch,をかく
drag,を引きずる
roar,ほえる
quote,を引用する
bloom,咲く
distort,を歪曲する
await,を待つ
dread,を恐れる
conceal,を隠す
enrich,を豊かにする
cling,固執する
surpass,にまさる
suppress,を抑える
portray,を描く
soar,急上昇する
drain,を排出する
glow,ボーッと光る
migrate,移住する
exclaim,叫ぶ
exert,を及ぼす
fetch,を取ってくる
accelerate,を促進する
dwell,住む
integrate,を融けこませる
weep,泣く
reassure,を安心させる
condemn,非難する
restrain,を抑制する
resent,に腹を立てる
yell,大声で叫ぶ
assess,を評価する
carve,を彫る
halt,を止める
inspect,を検査する
tackle,に取り組む
omit,を省く
frown,まゆをひそめる
resume,を再開する
mold,を作る
accommodate,を収容できる
erase,を消す
infer,推量する
revive,を生き返らせる
humiliate,に恥をかかせる
rotate,回る
disrupt,をかき乱す
navigate,進路を決める
ache,痛む
discard,を捨てる
incorporate,を取り入れる
overtake,を追い越す
supplement,を補う
manipulate,を操作する
nourish,を養う
squeeze,をしぼる
depict,を描く
distract,をそらす
disclose,を暴露する
enroll,入学する
nurture,を育てる
speculate,推測
prolong,を延ばす
execute,を処刑する
uncover,を明らかにする
